¤é´Á,Data,
1958/01,3.2000,
1958/02,3.2000,
1958/03,2.8000,
1958/04,2.4000,
1958/05,2.4000,
1958/06,2.1000,
1958/07,2.4000,
1958/08,2.1000,
1958/09,1.7000,
1958/10,1.7000,
1958/11,1.7000,
1958/12,1.7000,
1959/01,1.7000,
1959/02,1.7000,
1959/03,1.7000,
1959/04,1.7000,
1959/05,2.0000,
1959/06,2.0000,
1959/07,2.0000,
1959/08,2.0000,
1959/09,2.4000,
1959/10,2.7000,
1959/11,2.0000,
1959/12,2.0000,
1960/01,2.0000,
1960/02,2.3000,
1960/03,2.0000,
1960/04,2.0000,
1960/05,1.7000,
1960/06,1.7000,
1960/07,1.3000,
1960/08,1.3000,
1960/09,1.0000,
1960/10,1.0000,
1960/11,1.0000,
1960/12,1.0000,
1961/01,1.0000,
1961/02,0.7000,
1961/03,0.7000,
1961/04,1.0000,
1961/05,1.0000,
1961/06,1.0000,
1961/07,1.3000,
1961/08,1.3000,
1961/09,1.6000,
1961/10,1.3000,
1961/11,1.3000,
1961/12,1.3000,
1962/01,1.3000,
1962/02,1.3000,
1962/03,1.6000,
1962/04,1.3000,
1962/05,1.6000,
1962/06,1.6000,
1962/07,1.3000,
1962/08,1.3000,
1962/09,1.3000,
1962/10,1.3000,
1962/11,1.3000,
1962/12,1.3000,
1963/01,1.0000,
1963/02,1.0000,
1963/03,1.0000,
1963/04,1.3000,
1963/05,1.0000,
1963/06,1.3000,
1963/07,1.3000,
1963/08,1.6000,
1963/09,1.3000,
1963/10,1.3000,
1963/11,1.6000,
1963/12,1.6000,
1964/01,1.9000,
1964/02,1.9000,
1964/03,1.9000,
1964/04,1.6000,
1964/05,1.6000,
1964/06,1.6000,
1964/07,1.6000,
1964/08,0.9000,
1964/09,1.3000,
1964/10,1.3000,
1964/11,1.2000,
1964/12,1.2000,
1965/01,1.6000,
1965/02,1.6000,
1965/03,1.2000,
1965/04,1.6000,
1965/05,1.6000,
1965/06,1.2000,
1965/07,1.2000,
1965/08,1.6000,
1965/09,1.5000,
1965/10,1.5000,
1965/11,1.2000,
1965/12,1.5000,
1966/01,0.9000,
1966/02,1.2000,
1966/03,1.5000,
1966/04,1.8000,
1966/05,2.1000,
1966/06,2.4000,
1966/07,2.8000,
1966/08,3.1000,
1966/09,3.0000,
1966/10,3.3000,
1966/11,3.6000,
1966/12,3.3000,
1967/01,3.6000,
1967/02,3.6000,
1967/03,3.6000,
1967/04,3.3000,
1967/05,3.3000,
1967/06,3.3000,
1967/07,3.3000,
1967/08,3.3000,
1967/09,3.6000,
1967/10,3.5000,
1967/11,3.5000,
1967/12,3.8000,
1968/01,4.1000,
1968/02,4.1000,
1968/03,4.4000,
1968/04,4.4000,
1968/05,4.3000,
1968/06,4.6000,
1968/07,4.9000,
1968/08,4.9000,
1968/09,4.9000,
1968/10,4.8000,
1968/11,5.1000,
1968/12,5.1000,
1969/01,5.1000,
1969/02,5.3000,
1969/03,5.6000,
1969/04,6.1000,
1969/05,6.1000,
1969/06,5.8000,
1969/07,5.8000,
1969/08,5.8000,
1969/09,6.0000,
1969/10,6.0000,
1969/11,5.9000,
1969/12,6.2000,
1970/01,6.2000,
1970/02,6.1000,
1970/03,6.1000,
1970/04,5.8000,
1970/05,6.0000,
1970/06,6.5000,
1970/07,6.2000,
1970/08,6.2000,
1970/09,6.2000,
1970/10,6.4000,
1970/11,6.6000,
1970/12,6.6000,
1971/01,6.3000,
1971/02,5.8000,
1971/03,5.2000,
1971/04,5.0000,
1971/05,5.2000,
1971/06,4.9000,
1971/07,4.9000,
1971/08,4.6000,
1971/09,4.4000,
1971/10,3.8000,
1971/11,3.3000,
1971/12,3.1000,
1972/01,3.1000,
1972/02,3.3000,
1972/03,3.3000,
1972/04,3.3000,
1972/05,3.1000,
1972/06,2.8000,
1972/07,2.8000,
1972/08,3.3000,
1972/09,2.8000,
1972/10,3.0000,
1972/11,3.0000,
1972/12,3.0000,
1973/01,2.8000,
1973/02,2.8000,
1973/03,3.0000,
1973/04,3.2000,
1973/05,3.2000,
1973/06,3.2000,
1973/07,3.2000,
1973/08,3.2000,
1973/09,3.8000,
