¤é´Á,Data,
1971/01,4.0000,
1971/02,3.5000,
1971/03,5.5000,
1971/04,5.5000,
1971/05,5.5000,
1971/06,5.5000,
1971/07,5.5000,
1971/08,5.7500,
1971/09,5.1250,
1971/10,5.1250,
1971/11,4.5000,
1971/12,3.5000,
1972/01,3.5000,
1972/02,3.5000,
1972/03,5.5000,
1972/04,5.5000,
1972/05,5.5000,
1972/06,5.5000,
1972/07,5.5000,
1972/08,5.5000,
1972/09,5.5000,
1972/10,5.5000,
1972/11,5.5000,
1972/12,5.5000,
1973/01,6.0000,
1973/02,6.7500,
1973/03,7.2500,
1973/04,7.2500,
1973/05,8.2500,
1973/06,8.5000,
1973/07,10.5000,
1973/08,11.0000,
1973/09,9.0000,
1973/10,9.0000,
1973/11,9.0000,
1973/12,9.0000,
1974/01,9.0000,
1974/02,9.0000,
1974/03,10.0000,
1974/04,10.7500,
1974/05,13.0000,
1974/06,13.0000,
1974/07,9.2500,
1974/08,9.2500,
1974/09,9.2500,
1974/10,9.2500,
1974/11,9.2500,
1974/12,8.0000,
1975/01,7.0000,
1975/02,6.0000,
1975/03,5.5000,
1975/04,5.2500,
1975/05,5.2500,
1975/06,6.5000,
1975/07,6.5000,
1975/08,6.5000,
1975/09,6.5000,
1975/10,4.8750,
1975/11,4.8750,
1975/12,4.8750,
1976/01,4.7500,
1976/02,4.7500,
1976/03,4.7500,
1976/04,4.8750,
1976/05,5.5000,
1976/06,5.5000,
1976/07,5.1250,
1976/08,5.1250,
1976/09,5.1250,
1976/10,5.0000,
1976/11,4.7500,
1976/12,5.8750,
1977/01,5.8750,
1977/02,5.8750,
1977/03,5.8750,
1977/04,5.8750,
1977/05,5.8750,
1977/06,5.8750,
1977/07,5.8750,
1977/08,6.0000,
1977/09,6.2500,
1977/10,6.5000,
1977/11,6.5000,
1977/12,6.5000,
1978/01,6.7500,
1978/02,6.7500,
1978/03,6.7500,
1978/04,7.2500,
1978/05,7.5000,
1978/06,7.7500,
1978/07,7.8750,
1978/08,8.2500,
1978/09,8.7500,
1978/10,9.0000,
1978/11,9.8750,
1978/12,10.0000,
1979/01,10.0000,
1979/02,10.0000,
1979/03,10.0000,
1979/04,10.2500,
1979/05,10.2500,
1979/06,10.2500,
1979/07,10.6250,
1979/08,11.3750,
1979/09,11.5000,
1979/10,15.5000,
1979/11,15.5000,
1979/12,14.0000,
1980/01,14.0000,
1980/02,15.0000,
1980/03,20.0000,
1980/04,11.5000,
1980/05,10.7500,
1980/06,9.5000,
1980/07,9.5000,
1980/08,10.0000,
1980/09,12.0000,
1980/10,13.7500,
1980/11,18.0000,
1980/12,18.0000,
1981/01,16.0000,
1981/02,16.0000,
1981/03,16.0000,
1981/04,16.0000,
1981/05,20.0000,
1981/06,15.5000,
1981/07,15.5000,
1981/08,15.5000,
1981/09,15.5000,
1981/10,15.5000,
1981/11,13.0000,
1981/12,12.0000,
1982/01,15.0000,
1982/02,15.0000,
1982/03,15.0000,
1982/04,13.0000,
1982/05,13.0000,
1982/06,13.0000,
1982/07,11.5000,
1982/08,9.5000,
1982/09,10.0000,
1982/10,9.5000,
1982/11,9.0000,
1982/12,8.5000,
1983/01,8.5000,
1983/02,8.5000,
1983/03,8.5000,
1983/04,8.5000,
1983/05,9.6250,
1983/06,9.6250,
1983/07,9.6250,
1983/08,9.6250,
1983/09,9.5000,
1983/10,9.5000,
1983/11,9.5000,
1983/12,9.5000,
1984/01,9.5000,
1984/02,9.5000,
1984/03,10.5000,
1984/04,10.5000,
1984/05,10.5000,
1984/06,10.5000,
1984/07,11.0000,
1984/08,11.7500,
1984/09,11.7500,
1984/10,10.0000,
1984/11,9.0000,
1984/12,8.2500,
1985/01,8.2500,
1985/02,9.0000,
1985/03,8.5000,
1985/04,8.2500,
1985/05,7.7500,
1985/06,7.7500,
1985/07,7.7500,
1985/08,8.0000,
1985/09,8.0000,
1985/10,8.0000,
1985/11,8.0000,
1985/12,7.7500,
1986/01,7.7500,
1986/02,7.7500,
1986/03,7.2500,
1986/04,6.7500,
1986/05,6.8750,
1986/06,6.8750,
1986/07,6.3750,
1986/08,5.8750,
1986/09,5.8750,
1986/10,5.8750,
1986/11,5.8750,
1986/12,6.0000,
1987/01,6.0000,
1987/02,6.0000,
1987/03,6.0000,
1987/04,6.5000,
1987/05,6.7500,
1987/06,6.7500,
1987/07,6.7500,
1987/08,6.7500,
1987/09,7.2500,
1987/10,7.2500,
1987/11,6.8750,
1987/12,6.8750,
1988/01,6.6250,
1988/02,6.5000,
1988/03,6.7500,
1988/04,6.7500,
1988/05,7.2500,
1988/06,7.5000,
1988/07,7.7500,
1988/08,8.2500,
1988/09,8.2500,
1988/10,8.2500,
1988/11,8.3750,
1988/12,8.7500,
1989/01,8.7500,
1989/02,9.7500,
1989/03,9.7500,
1989/04,9.7500,
1989/05,9.7500,
1989/06,9.6250,
1989/07,9.0000,
1989/08,9.0000,
1989/09,9.0000,
1989/10,9.0000,
1989/11,8.5000,
1989/12,8.2500,
1990/01,8.2500,
1990/02,8.2500,
1990/03,8.2500,
1990/04,8.2500,
1990/05,8.2500,
1990/06,8.2500,
1990/07,8.0000,
1990/08,8.0000,
1990/09,8.0000,
1990/10,7.7500,
1990/11,7.5000,
1990/12,7.0000,
1991/01,6.7500,
1991/02,6.2500,
1991/03,6.0000,
1991/04,5.7500,
1991/05,5.7500,
1991/06,5.7500,
1991/07,5.7500,
1991/08,5.5000,
1991/09,5.2500,
1991/10,5.0000,
1991/11,4.7500,
1991/12,4.0000,
1992/01,4.0000,
1992/02,4.0000,
1992/03,4.0000,
1992/04,3.7500,
1992/05,3.7500,
1992/06,3.7500,
1992/07,3.2500,
1992/08,3.2500,
1992/09,3.0000,
1992/10,3.0000,
1992/11,3.0000,
1992/12,3.0000,
1993/01,3.0000,
1993/02,3.0000,
1993/03,3.0000,
1993/04,3.0000,
1993/05,3.0000,
1993/06,3.0000,
1993/07,3.0000,
1993/08,3.0000,
1993/09,3.0000,
1993/10,3.0000,
1993/11,3.0000,
1993/12,3.0000,
1994/01,3.0000,
1994/02,3.2500,
1994/03,3.5000,
1994/04,3.7500,
1994/05,4.2500,
1994/06,4.2500,
1994/07,4.2500,
1994/08,4.7500,
1994/09,4.7500,
1994/10,4.7500,
1994/11,5.5000,
1994/12,5.5000,
1995/01,5.5000,
1995/02,6.0000,
1995/03,6.0000,
1995/04,6.0000,
1995/05,6.0000,
1995/06,6.0000,
1995/07,5.7500,
1995/08,5.7500,
1995/09,5.7500,
1995/10,5.7500,
1995/11,5.7500,
1995/12,5.5000,
1996/01,5.2500,
1996/02,5.2500,
1996/03,5.2500,
1996/04,5.2500,
1996/05,5.2500,
1996/06,5.2500,
1996/07,5.2500,
1996/08,5.2500,
1996/09,5.2500,
1996/10,5.2500,
1996/11,5.2500,
1996/12,5.2500,
