¤é´Á,Data,
1939/02,178.0000,
1939/03,179.0000,
1939/04,-186.0000,
1939/05,206.0000,
1939/06,202.0000,
1939/07,-83.0000,
1939/08,244.0000,
1939/09,369.0000,
1939/10,376.0000,
1939/11,61.0000,
1939/12,70.0000,
1940/01,64.0000,
1940/02,112.0000,
1940/03,111.0000,
1940/04,-126.0000,
1940/05,180.0000,
1940/06,98.0000,
1940/07,-36.0000,
1940/08,410.0000,
1940/09,458.0000,
1940/10,455.0000,
1940/11,403.0000,
1940/12,504.0000,
1941/01,308.0000,
1941/02,364.0000,
1941/03,250.0000,
1941/04,375.0000,
1941/05,713.0000,
1941/06,469.0000,
1941/07,486.0000,
1941/08,407.0000,
1941/09,291.0000,
1941/10,113.0000,
1941/11,76.0000,
1941/12,80.0000,
1942/01,243.0000,
1942/02,166.0000,
1942/03,423.0000,
1942/04,416.0000,
1942/05,420.0000,
1942/06,256.0000,
1942/07,443.0000,
1942/08,517.0000,
1942/09,267.0000,
1942/10,260.0000,
1942/11,158.0000,
1942/12,242.0000,
1943/01,257.0000,
1943/02,223.0000,
1943/03,158.0000,
1943/04,94.0000,
1943/05,-51.0000,
1943/06,185.0000,
1943/07,-80.0000,
1943/08,-155.0000,
1943/09,-61.0000,
1943/10,190.0000,
1943/11,145.0000,
1943/12,-74.0000,
1944/01,-91.0000,
1944/02,-111.0000,
1944/03,-252.0000,
1944/04,-229.0000,
1944/05,-78.0000,
1944/06,-38.0000,
1944/07,-42.0000,
1944/08,-55.0000,
1944/09,-178.0000,
1944/10,37.0000,
1944/11,3.0000,
1944/12,149.0000,
1945/01,36.0000,
1945/02,7.0000,
1945/03,-108.0000,
1945/04,-353.0000,
1945/05,-139.0000,
1945/06,-155.0000,
1945/07,-276.0000,
1945/08,-406.0000,
1945/09,-1967.0000,
1945/10,99.0000,
1945/11,398.0000,
1945/12,115.0000,
1946/01,720.0000,
1946/02,-581.0000,
1946/03,942.0000,
1946/04,716.0000,
1946/05,440.0000,
1946/06,384.0000,
1946/07,420.0000,
1946/08,490.0000,
1946/09,266.0000,
1946/10,185.0000,
1946/11,303.0000,
1946/12,-18.0000,
1947/01,160.0000,
1947/02,24.0000,
1947/03,43.0000,
1947/04,-114.0000,
1947/05,146.0000,
1947/06,170.0000,
1947/07,-65.0000,
1947/08,216.0000,
1947/09,242.0000,
1947/10,214.0000,
1947/11,72.0000,
1947/12,92.0000,
1948/01,103.0000,
1948/02,-145.0000,
1948/03,144.0000,
1948/04,-311.0000,
1948/05,425.0000,
1948/06,238.0000,
1948/07,127.0000,
1948/08,16.0000,
1948/09,119.0000,
1948/10,-44.0000,
1948/11,-57.0000,
1948/12,-165.0000,
1949/01,-358.0000,
1949/02,-171.0000,
1949/03,-262.0000,
1949/04,-8.0000,
1949/05,-248.0000,
1949/06,-243.0000,
1949/07,-210.0000,
1949/08,93.0000,
1949/09,162.0000,
1949/10,-834.0000,
1949/11,295.0000,
1949/12,272.0000,
1950/01,11.0000,
1950/02,-230.0000,
1950/03,654.0000,
1950/04,424.0000,
1950/05,342.0000,
1950/06,366.0000,
1950/07,370.0000,
1950/08,734.0000,
1950/09,254.0000,
1950/10,270.0000,
1950/11,66.0000,
1950/12,77.0000,
1951/01,433.0000,
1951/02,289.0000,
1951/03,294.0000,
1951/04,-15.0000,
1951/05,97.0000,
1951/06,115.0000,
1951/07,-6.0000,
1951/08,-53.0000,
1951/09,-54.0000,
1951/10,54.0000,
1951/11,139.0000,
1951/12,161.0000,
1952/01,-11.0000,
1952/02,224.0000,
1952/03,-18.0000,
1952/04,112.0000,
1952/05,29.0000,
1952/06,-359.0000,
1952/07,-142.0000,
1952/08,779.0000,
1952/09,396.0000,
1952/10,279.0000,
1952/11,218.0000,
1952/12,348.0000,
1953/01,-19.0000,
1953/02,194.0000,
1953/03,136.0000,
1953/04,-43.0000,
1953/05,59.0000,
1953/06,31.0000,
1953/07,14.0000,
1953/08,-49.0000,
1953/09,-122.0000,
1953/10,-123.0000,
1953/11,-335.0000,
1953/12,-205.0000,
1954/01,-234.0000,
1954/02,-86.0000,
1954/03,-224.0000,
1954/04,20.0000,
1954/05,-213.0000,
1954/06,-69.0000,
1954/07,-61.0000,
1954/08,-10.0000,
1954/09,57.0000,
1954/10,62.0000,
1954/11,234.0000,
1954/12,153.0000,
1955/01,166.0000,
1955/02,147.0000,
1955/03,319.0000,
1955/04,284.0000,
1955/05,265.0000,
1955/06,278.0000,
1955/07,195.0000,
1955/08,126.0000,
1955/09,151.0000,
1955/10,169.0000,
1955/11,161.0000,
1955/12,213.0000,
1956/01,170.0000,
1956/02,192.0000,
1956/03,128.0000,
1956/04,80.0000,
1956/05,131.0000,
1956/06,78.0000,
1956/07,-630.0000,
1956/08,676.0000,
1956/09,-29.0000,
1956/10,180.0000,
1956/11,41.0000,
1956/12,108.0000,
1957/01,-42.0000,
1957/02,209.0000,
1957/03,60.0000,
1957/04,81.0000,
1957/05,-89.0000,
1957/06,-83.0000,
1957/07,57.0000,
1957/08,3.0000,
1957/09,-194.0000,
1957/10,-167.0000,
1957/11,-206.0000,
1957/12,-174.0000,
1958/01,-308.0000,
1958/02,-501.0000,
1958/03,-276.0000,
1958/04,-273.0000,
1958/05,-114.0000,
1958/06,-1.0000,
1958/07,125.0000,
1958/08,194.0000,
1958/09,275.0000,
1958/10,-20.0000,
1958/11,458.0000,
1958/12,144.0000,
1959/01,392.0000,
1959/02,207.0000,
1959/03,329.0000,
1959/04,304.0000,
1959/05,229.0000,
1959/06,130.0000,
1959/07,124.0000,
1959/08,-469.0000,
1959/09,95.0000,
1959/10,-70.0000,
1959/11,276.0000,
1959/12,540.0000,
1960/01,99.0000,
1960/02,239.0000,
1960/03,-55.0000,
1960/04,354.0000,
1960/05,-339.0000,
1960/06,-126.0000,
1960/07,-43.0000,
1960/08,-33.0000,
1960/09,-43.0000,
1960/10,-84.0000,
1960/11,-182.0000,
1960/12,-218.0000,
1961/01,-61.0000,
1961/02,-127.0000,
1961/03,106.0000,
1961/04,-36.0000,
1961/05,159.0000,
1961/06,192.0000,
1961/07,146.0000,
1961/08,175.0000,
1961/09,90.0000,
1961/10,134.0000,
1961/11,221.0000,
1961/12,128.0000,
1962/01,20.0000,
1962/02,296.0000,
1962/03,89.0000,
1962/04,326.0000,
1962/05,25.0000,
1962/06,17.0000,
1962/07,102.0000,
1962/08,92.0000,
1962/09,139.0000,
1962/10,64.0000,
1962/11,15.0000,
1962/12,-28.0000,
1963/01,88.0000,
1963/02,114.0000,
1963/03,92.0000,
1963/04,258.0000,
1963/05,36.0000,
1963/06,42.0000,
1963/07,136.0000,
1963/08,116.0000,
1963/09,167.0000,
1963/10,207.0000,
1963/11,-29.0000,
1963/12,105.0000,
1964/01,127.0000,
1964/02,264.0000,
1964/03,147.0000,
1964/04,24.0000,
1964/05,167.0000,
1964/06,132.0000,
1964/07,192.0000,
1964/08,206.0000,
1964/09,284.0000,
1964/10,-109.0000,
1964/11,423.0000,
1964/12,204.0000,
1965/01,162.0000,
1965/02,217.0000,
1965/03,203.0000,
1965/04,256.0000,
1965/05,233.0000,
1965/06,198.0000,
1965/07,273.0000,
1965/08,265.0000,
1965/09,262.0000,
1965/10,228.0000,
1965/11,279.0000,
1965/12,324.0000,
1966/01,207.0000,
1966/02,268.0000,
1966/03,396.0000,
1966/04,244.0000,
1966/05,275.0000,
1966/06,399.0000,
1966/07,191.0000,
1966/08,206.0000,
1966/09,137.0000,
1966/10,210.0000,
1966/11,165.0000,
1966/12,181.0000,
1967/01,207.0000,
1967/02,21.0000,
1967/03,102.0000,
1967/04,-63.0000,
1967/05,152.0000,
1967/06,131.0000,
1967/07,137.0000,
1967/08,255.0000,
1967/09,22.0000,
1967/10,61.0000,
1967/11,478.0000,
1967/12,197.0000,
1968/01,-95.0000,
1968/02,410.0000,
1968/03,80.0000,
1968/04,260.0000,
1968/05,98.0000,
1968/06,251.0000,
1968/07,221.0000,
1968/08,203.0000,
1968/09,159.0000,
1968/10,233.0000,
1968/11,265.0000,
1968/12,261.0000,
1969/01,192.0000,
1969/02,262.0000,
1969/03,205.0000,
1969/04,167.0000,
1969/05,256.0000,
1969/06,308.0000,
1969/07,93.0000,
1969/08,277.0000,
1969/09,-89.0000,
1969/10,203.0000,
1969/11,-33.0000,
1969/12,153.0000,
1970/01,-64.0000,
1970/02,128.0000,
1970/03,148.0000,
1970/04,-104.0000,
1970/05,-225.0000,
1970/06,-94.0000,
1970/07,24.0000,
1970/08,-120.0000,
1970/09,15.0000,
1970/10,-429.0000,
1970/11,-110.0000,
1970/12,381.0000,
1971/01,76.0000,
1971/02,-60.0000,
1971/03,53.0000,
1971/04,178.0000,
1971/05,210.0000,
1971/06,6.0000,
1971/07,62.0000,
1971/08,55.0000,
1971/09,247.0000,
1971/10,25.0000,
1971/11,204.0000,
1971/12,262.0000,
1972/01,337.0000,
1972/02,207.0000,
1972/03,293.0000,
1972/04,218.0000,
1972/05,304.0000,
1972/06,293.0000,
1972/07,-52.0000,
1972/08,430.0000,
1972/09,125.0000,
1972/10,410.0000,
1972/11,294.0000,
1972/12,303.0000,
1973/01,351.0000,
1973/02,396.0000,
1973/03,268.0000,
1973/04,170.0000,
1973/05,191.0000,
1973/06,241.0000,
1973/07,24.0000,
1973/08,255.0000,
1973/09,110.0000,
1973/10,330.0000,
1973/11,306.0000,
1973/12,123.0000,
1974/01,69.0000,
1974/02,150.0000,
1974/03,42.0000,
1974/04,86.0000,
1974/05,165.0000,
1974/06,55.0000,
1974/07,33.0000,
1974/08,-16.0000,
1974/09,-8.0000,
1974/10,18.0000,
1974/11,-368.0000,
1974/12,-604.0000,
1975/01,-360.0000,
1975/02,-378.0000,
1975/03,-270.0000,
1975/04,-188.0000,
1975/05,162.0000,
1975/06,-103.0000,
1975/07,249.0000,
1975/08,386.0000,
1975/09,75.0000,
1975/10,305.0000,
1975/11,145.0000,
1975/12,338.0000,
1976/01,488.0000,
1976/02,311.0000,
1976/03,232.0000,
1976/04,243.0000,
1976/05,19.0000,
1976/06,65.0000,
1976/07,171.0000,
1976/08,157.0000,
1976/09,188.0000,
1976/10,13.0000,
1976/11,332.0000,
1976/12,211.0000,
1977/01,244.0000,
1977/02,296.0000,
1977/03,403.0000,
1977/04,338.0000,
1977/05,360.0000,
1977/06,399.0000,
1977/07,348.0000,
1977/08,238.0000,
1977/09,458.0000,
1977/10,262.0000,
1977/11,379.0000,
1977/12,235.0000,
1978/01,187.0000,
1978/02,353.0000,
1978/03,513.0000,
1978/04,702.0000,
1978/05,346.0000,
1978/06,442.0000,
1978/07,254.0000,
1978/08,276.0000,
1978/09,137.0000,
1978/10,336.0000,
1978/11,437.0000,
1978/12,282.0000,
1979/01,137.0000,
1979/02,244.0000,
1979/03,426.0000,
1979/04,-62.0000,
1979/05,373.0000,
1979/06,318.0000,
1979/07,106.0000,
1979/08,82.0000,
1979/09,28.0000,
1979/10,157.0000,
1979/11,94.0000,
1979/12,97.0000,
1980/01,128.0000,
1980/02,83.0000,
1980/03,111.0000,
1980/04,-145.0000,
1980/05,-429.0000,
1980/06,-319.0000,
1980/07,-261.0000,
1980/08,259.0000,
1980/09,114.0000,
1980/10,277.0000,
1980/11,257.0000,
1980/12,196.0000,
1981/01,90.0000,
1981/02,72.0000,
1981/03,105.0000,
1981/04,73.0000,
1981/05,13.0000,
1981/06,194.0000,
1981/07,111.0000,
1981/08,-36.0000,
1981/09,-88.0000,
1981/10,-97.0000,
1981/11,-209.0000,
1981/12,-276.0000,
1982/01,-330.0000,
1982/02,-2.0000,
1982/03,-129.0000,
1982/04,-284.0000,
1982/05,-43.0000,
1982/06,-242.0000,
1982/07,-344.0000,
1982/08,-158.0000,
1982/09,-180.0000,
1982/10,-276.0000,
1982/11,-121.0000,
1982/12,-15.0000,
1983/01,219.0000,
1983/02,-73.0000,
1983/03,173.0000,
1983/04,274.0000,
1983/05,280.0000,
1983/06,377.0000,
1983/07,416.0000,
1983/08,-308.0000,
1983/09,1118.0000,
1983/10,273.0000,
1983/11,355.0000,
1983/12,355.0000,
1984/01,443.0000,
1984/02,484.0000,
1984/03,272.0000,
1984/04,363.0000,
1984/05,306.0000,
1984/06,381.0000,
1984/07,310.0000,
1984/08,243.0000,
1984/09,312.0000,
1984/10,285.0000,
1984/11,353.0000,
1984/12,125.0000,
1985/01,265.0000,
1985/02,131.0000,
1985/03,339.0000,
1985/04,196.0000,
1985/05,274.0000,
1985/06,147.0000,
1985/07,189.0000,
1985/08,192.0000,
1985/09,205.0000,
1985/10,188.0000,
1985/11,210.0000,
1985/12,166.0000,
1986/01,123.0000,
1986/02,115.0000,
1986/03,87.0000,
1986/04,187.0000,
1986/05,127.0000,
1986/06,-93.0000,
1986/07,318.0000,
1986/08,115.0000,
1986/09,346.0000,
1986/10,187.0000,
1986/11,187.0000,
1986/12,201.0000,
1987/01,169.0000,
1987/02,241.0000,
1987/03,245.0000,
1987/04,335.0000,
1987/05,229.0000,
1987/06,172.0000,
1987/07,347.0000,
1987/08,173.0000,
1987/09,227.0000,
1987/10,491.0000,
1987/11,234.0000,
1987/12,289.0000,
1988/01,92.0000,
1988/02,461.0000,
1988/03,275.0000,
1988/04,243.0000,
1988/05,230.0000,
1988/06,364.0000,
1988/07,224.0000,
1988/08,124.0000,
1988/09,339.0000,
1988/10,263.0000,
1988/11,341.0000,
1988/12,281.0000,
1989/01,263.0000,
1989/02,266.0000,
1989/03,194.0000,
1989/04,170.0000,
1989/05,122.0000,
1989/06,114.0000,
1989/07,42.0000,
1989/08,51.0000,
1989/09,249.0000,
1989/10,107.0000,
1989/11,276.0000,
1989/12,84.0000,
1990/01,363.0000,
1990/02,236.0000,
1990/03,209.0000,
1990/04,42.0000,
1990/05,153.0000,
1990/06,17.0000,
1990/07,-32.0000,
1990/08,-208.0000,
1990/09,-98.0000,
1990/10,-151.0000,
1990/11,-153.0000,
1990/12,-48.0000,
1991/01,-111.0000,
1991/02,-321.0000,
1991/03,-160.0000,
1991/04,-210.0000,
1991/05,-115.0000,
1991/06,85.0000,
1991/07,-42.0000,
1991/08,18.0000,
1991/09,26.0000,
1991/10,21.0000,
1991/11,-61.0000,
1991/12,32.0000,
1992/01,41.0000,
1992/02,-58.0000,
1992/03,54.0000,
1992/04,154.0000,
1992/05,130.0000,
1992/06,66.0000,
1992/07,78.0000,
1992/08,132.0000,
1992/09,34.0000,
1992/10,180.0000,
1992/11,133.0000,
1992/12,223.0000,
1993/01,299.0000,
1993/02,250.0000,
1993/03,-50.0000,
1993/04,302.0000,
1993/05,272.0000,
1993/06,181.0000,
1993/07,306.0000,
1993/08,151.0000,
1993/09,242.0000,
1993/10,285.0000,
1993/11,251.0000,
1993/12,330.0000,
1994/01,281.0000,
1994/02,186.0000,
1994/03,461.0000,
1994/04,344.0000,
1994/05,335.0000,
1994/06,317.0000,
1994/07,372.0000,
1994/08,286.0000,
1994/09,351.0000,
1994/10,211.0000,
1994/11,411.0000,
1994/12,296.0000,
1995/01,336.0000,
1995/02,196.0000,
1995/03,210.0000,
1995/04,162.0000,
1995/05,-20.0000,
1995/06,237.0000,
1995/07,94.0000,
1995/08,254.0000,
1995/09,241.0000,
1995/10,156.0000,
1995/11,144.0000,
1995/12,145.0000,
